"","sex","birth","marriage","religion","income","code_job","code_region"
"524",1,1926,1,2,NA,NA,1
"525",2,1935,1,2,NA,NA,1
"526",1,1944,1,2,NA,NA,1
"527",2,1950,1,2,NA,NA,1
"528",1,1978,5,2,667,320,1
"529",2,1979,5,2,180,313,1
"530",1,1981,5,2,250,952,1
"531",2,1927,2,1,NA,NA,2
"532",2,1960,1,1,NA,422,2
"533",1,1953,1,1,156,864,2
"534",2,1986,5,1,220,399,2
"535",1,1973,5,2,358,221,1
"536",1,1970,1,1,208,873,1
"537",2,1969,1,2,440,313,1
"538",1,1999,5,2,NA,NA,1
"539",2,1943,2,1,NA,NA,1
"540",1,1979,1,1,NA,721,1
"541",2,1983,1,2,NA,721,1
"542",1,1947,1,1,NA,611,4
"543",2,1948,1,1,NA,NA,4
"544",2,1980,5,2,442,285,1
"545",1,1963,1,1,NA,773,1
"546",2,1961,1,1,NA,NA,1
"547",1,1937,1,1,NA,NA,1
"548",2,1937,1,1,NA,NA,1
"549",1,1937,1,2,NA,NA,1
"550",2,1943,1,2,NA,NA,1
"551",1,1936,1,1,NA,NA,1
"552",2,1939,1,1,NA,NA,1
"553",1,1969,1,2,NA,773,1
"554",2,1971,1,1,NA,NA,1
"555",2,2000,0,2,NA,NA,1
"556",2,2002,0,2,NA,NA,1
"557",2,1972,1,2,254,313,2
"558",1,1979,1,2,269,221,2
"559",2,2010,0,2,NA,NA,2
"560",1,2012,0,2,NA,NA,2
"561",2,1956,2,1,218,441,1
"562",1,1982,5,1,259,259,1
"563",1,1945,1,2,NA,141,1
"564",2,1948,1,2,NA,NA,1
"565",2,1954,3,1,NA,521,2
"566",1,1974,1,2,700,521,1
"567",2,1974,1,2,NA,442,1
"568",2,2005,0,2,NA,NA,1
"569",1,1963,1,1,241,791,1
"570",2,1964,1,1,34,421,1
"571",2,1990,5,1,243,243,1
"572",1,1991,5,1,176,772,1
"573",2,1935,2,1,NA,NA,1
"574",1,1950,1,1,NA,NA,1
"575",2,1953,1,1,NA,NA,1
"576",2,1958,3,1,160,930,1
"577",1,1984,5,1,260,952,1
"578",1,1950,1,2,60,259,6
"579",2,1954,1,2,NA,NA,6
"580",1,1977,1,2,892,139,1
"581",2,1979,1,2,377,313,1
"582",2,1979,1,2,NA,NA,1
"583",1,2010,0,2,NA,NA,1
"584",1,1980,1,2,477,313,1
"585",1,2014,0,2,NA,NA,1
"586",2,2014,0,2,NA,NA,1
"587",2,2014,0,2,NA,NA,1
"588",2,2015,0,2,NA,NA,1
"589",1,2016,0,2,NA,NA,1
"590",2,1969,1,2,130,510,2
"591",1,1970,1,2,667,312,2
"592",2,1946,2,1,NA,NA,1
"593",2,1943,2,1,NA,NA,7
"594",1,1917,2,1,NA,NA,7
"595",1,1932,1,1,NA,NA,1
"596",2,1938,1,1,NA,NA,1
"597",1,1969,5,1,NA,NA,1
"598",2,1930,2,2,NA,NA,1
"599",2,1953,3,1,NA,NA,6
"600",2,1983,1,2,60,152,6
"601",2,2013,0,2,NA,NA,6
"602",1,1978,1,2,383,312,6
"603",1,2010,0,2,NA,NA,6
"604",1,1965,1,2,417,235,1
"605",2,1974,1,2,250,313,1
"606",2,2004,0,2,NA,NA,1
"607",2,2006,0,2,NA,NA,1
